run_prefix,run_id,benchmark,variant,metric,units,sample_index,total_avg,total_max,source_log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: JNI Critical Stall,ops/s,2,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Relocation Stall,ops/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Relocation Stall,ops/s,2,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Major Collection: Major Collection,ms,1,463.312,742.192,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Allocation Rate,MB/s,1,130.0,740.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Defragment,ops/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Mapped Cache Harvest,MB/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Out Of Memory,ops/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Uncommit,MB/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Undo Object Allocation Failed,ops/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Undo Object Allocation Succeeded,ops/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Undo Page Allocation,ops/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Minor Collection: Minor Collection,ms,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Generation: Old Generation,ms,1,385.658,518.526,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Pause: Pause Mark End,ms,1,0.013,0.015,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Pause: Pause Relocate Start,ms,1,0.008,0.01,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Mark,ms,1,261.108,359.553,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Mark Continue,ms,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Mark Free,ms,1,0.006,0.009,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Process Non-Strong,ms,1,23.025,35.874,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Relocate,ms,1,93.076,134.873,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Remap Roots,ms,1,3.82,6.137,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Reset Relocation Set,ms,1,0.035,0.054,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Select Relocation Set,ms,1,4.438,5.174,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Classes Purge,ms,1,0.121,0.492,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Classes Unlink,ms,1,0.895,0.907,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Mark Follow,ms,1,261.025,359.479,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Mark Root Colored,ms,1,0.034,0.105,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Mark Root Uncolored,ms,1,0.019,0.038,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Mark Roots,ms,1,0.081,0.125,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent References Enqueue,ms,1,0.004,0.007,run_multi_none_run11_slurm-5076215-multi.log
