run_prefix,run_id,benchmark,variant,timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,source_log
slurm-5076215,slurm-5076215-multi,multi,none,1776993893753,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993894105,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993894439,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993894764,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994398639,21108,0,0,546816,Phase 1,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994423996,645400,25925,25925,1032192,Phase 2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994424348,1086636,25931,25931,1032192,Phase 2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994424697,1086636,25931,25931,1032192,Phase 2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994425060,1086636,25931,25931,1032192,Phase 2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994425430,1086636,25931,25931,1032192,Phase 2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994425781,1086636,25931,25931,1032192,Phase 2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994426136,1086636,25931,25931,1032192,Phase 2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994426508,1086636,25931,25931,1032192,Phase 2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994426898,1086636,25931,25931,1032192,Phase 3.1,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994427257,1121768,88437,88437,956416,Phase 3.1,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994427627,1184088,84177,84177,790528,Phase 3.2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994428009,1302412,165027,165027,790528,Phase 3.2,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994428375,1301648,153180,153180,628736,Phase 3.3,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994428736,1311400,127898,127898,460800,Phase 3.4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994429109,1291364,101616,101616,294912,Phase 3.5,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994429463,1271116,60230,60230,131072,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994429843,1252548,60232,60232,131072,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994430230,1252548,60232,60232,131072,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994430591,1252548,60232,60232,131072,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994430932,1252548,60232,60232,131072,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994431290,1252548,60232,60232,131072,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994431648,1252548,60232,60232,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994432007,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994432343,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994432708,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994433062,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994433410,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994433758,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994434109,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994434447,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994434810,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994435136,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994435467,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994435825,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994436165,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994436520,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994436857,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994437211,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994437559,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994437937,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994438290,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994438636,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776994438986,,0,0,0,Phase 4,monitor_multi_none_run11_slurm-5076215-multi.csv
